<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.03.13	00:00:16.893	0.90437	0.90437			6
2026.03.13	00:00:17.934	0.90444	0.90444			6
2026.03.13	00:00:18.487	0.90439	0.90439			6
2026.03.13	00:00:18.488	0.90441	0.90441			6
2026.03.13	00:00:18.574	0.90439	0.90439			6
2026.03.13	00:00:18.575	0.90440	0.90440			6
2026.03.13	00:00:19.199	0.90438	0.90438			6
2026.03.13	00:00:19.237	0.90439	0.90439			6
2026.03.13	00:00:19.303	0.90449	0.90449			6
2026.03.13	00:00:19.422	0.90439	0.90439			6
2026.03.13	00:00:19.433	0.90452	0.90452			6
2026.03.13	00:00:19.462	0.90438	0.90438			6
2026.03.13	00:00:19.493	0.90439	0.90439			6
2026.03.13	00:00:19.509	0.90440	0.90440			6
2026.03.13	00:00:19.586	0.90439	0.90439			6
2026.03.13	00:00:19.745	0.90493	0.90493			6
2026.03.13	00:00:19.745	0.90488	0.90488			6
2026.03.13	00:00:19.746	0.90490	0.90490			6
2026.03.13	00:00:19.747	0.90489	0.90489			6
2026.03.13	00:00:19.748	0.90490	0.90490			6
2026.03.13	00:00:19.805	0.90487	0.90487			6
2026.03.13	00:00:19.836	0.90491	0.90491			6
2026.03.13	00:00:19.846	0.90489	0.90489			6
2026.03.13	00:00:20.323	0.90486	0.90486			6
2026.03.13	00:00:20.327	0.90488	0.90488			6
2026.03.13	00:00:20.329	0.90489	0.90489			6
2026.03.13	00:00:20.334	0.90488	0.90488			6
2026.03.13	00:00:20.358	0.90491	0.90491			6
2026.03.13	00:00:20.404	0.90490	0.90490			6
2026.03.13	00:00:20.424	0.90489	0.90489			6
2026.03.13	00:00:20.436	0.90490	0.90490			6
2026.03.13	00:00:20.438	0.90488	0.90488			6
2026.03.13	00:00:20.447	0.90489	0.90489			6
2026.03.13	00:00:20.451	0.90487	0.90487			6
2026.03.13	00:00:20.617	0.90488	0.90488			6
2026.03.13	00:00:20.618	0.90490	0.90490			6
2026.03.13	00:00:20.623	0.90491	0.90491			6
2026.03.13	00:00:20.729	0.90493	0.90493			6
2026.03.13	00:00:20.801	0.90490	0.90490			6
2026.03.13	00:00:20.803	0.90488	0.90488			6
2026.03.13	00:00:21.324	0.90467	0.90467			6
2026.03.13	00:00:21.341	0.90465	0.90465			6
2026.03.13	00:00:21.425	0.90466	0.90466			6
2026.03.13	00:00:21.478	0.90467	0.90467			6
2026.03.13	00:00:21.479	0.90472	0.90472			6
2026.03.13	00:00:21.522	0.90474	0.90474			6
2026.03.13	00:00:21.522	0.90472	0.90472			6
2026.03.13	00:00:21.619	0.90473	0.90473			6
2026.03.13	00:00:21.866	0.90471	0.90471			6
2026.03.13	00:00:21.883	0.90469	0.90469			6
2026.03.13	00:00:21.886	0.90468	0.90468			6
2026.03.13	00:00:21.941	0.90472	0.90472			6
2026.03.13	00:00:21.994	0.90470	0.90470			6
2026.03.13	00:00:21.996	0.90472	0.90472			6
2026.03.13	00:00:22.153	0.90469	0.90469			6
2026.03.13	00:00:22.161	0.90470	0.90470			6
2026.03.13	00:00:23.642	0.90469	0.90469			6
